"velocity","Alstom 1MW","Alstom Beluga 9","Andritz Hydro Hammerfest HS1500","Atlantis AR1000","Atlantis AR1500","Atlantis AR2000","MCT SeaGen 600kW","MCT SeaGen-S 2MW","Nova Innovation M100","ORPC TidGen","Orbital Marine Power Orbital O2","Orbital Marine Power SR2000","Sabella D10","Sabella D15","Tidal Energy Pty Ltd DHV","Verdant Gen4","Verdant Gen5","Voith 1 MW test","TTL 1 MW 3 ms Limit","TTL 1 MW 5 ms Limit"
6.31,0,18.0042528161104,0,18.0245142148932,27.0367713223398,36.0490284297864,10.8147085289359,36.0490284297864,1.80245142148932,2.52343199008505,1.56143059975735,36.0490284297864,18.0245142148932,45.061285537233,3.06416741653184,1.00937279603402,4.90266786645095,18.0245142148932,0,18.0245142148932
6.32,0,17.4673578725736,0,17.4869287947429,26.2303931921144,34.9738575894858,10.4921572768457,34.9738575894858,1.74869287947429,2.44817003126401,1.50848519300734,34.9738575894858,17.4869287947429,43.7173219868573,2.97277789510629,0.979268012505603,4.75644463217007,17.4869287947429,0,17.4869287947429
6.33,0,16.8849535261928,0,16.9002464845847,25.3503697268771,33.8004929691695,10.1401478907508,33.8004929691695,1.69002464845847,2.36603450784186,1.32426501280808,33.8004929691695,16.9002464845847,42.2506162114618,2.8730419023794,0.946413803136745,4.59686704380705,16.9002464845847,0,16.9002464845847
6.34,0,16.3181217424518,0,16.3296702672638,24.4945054008957,32.6593405345276,9.79780216035829,32.6593405345276,1.63296702672638,2.28615383741693,1.14458614105142,32.6593405345276,16.3296702672638,40.8241756681595,2.77604394543485,0.914461534966774,4.44167031269576,16.3296702672638,0,16.3296702672638
6.35,0,15.829788289547,0,15.8409441005363,23.7614161508044,31.6818882010726,9.50456646032177,31.6818882010726,1.58409441005363,2.21773217407508,1.1058143727469,31.6818882010726,15.8409441005363,39.6023602513407,2.69296049709117,0.887092869630032,4.30873679534587,15.8409441005363,0,15.8409441005363
6.36,0,15.2941503285009,0,15.3021993014982,22.9532989522472,30.6043986029963,9.1813195808989,30.6043986029963,1.53021993014982,2.14230790220974,0.936465255423385,30.6043986029963,15.3021993014982,38.2554982537454,2.60137388125469,0.856923160883897,4.1621982100075,15.3021993014982,0,15.3021993014982
6.37,0,14.7728397390086,0,14.7782865078325,22.1674297617488,29.5565730156651,8.86697190469953,29.5565730156651,1.47782865078325,2.06896011109656,0.7711630639889,29.5565730156651,14.7782865078325,36.9457162695814,2.51230870633153,0.827584044438622,4.01969393013045,14.7782865078325,0,14.7782865078325
6.38,0,14.2654537298617,0,14.2687983975201,21.4031975962801,28.5375967950401,8.56127903851203,28.5375967950401,1.42687983975201,1.99763177565281,0.609749631506674,28.5375967950401,14.2687983975201,35.6719959938001,2.42569572757841,0.799052710261123,3.88111316412545,14.2687983975201,0,14.2687983975201
6.39,0,13.8367799851396,0,13.8400113160338,20.7600169740506,27.6800226320675,8.30400678962025,27.6800226320675,1.38400113160338,1.93760158424473,0.589135776119152,27.6800226320675,13.8400113160338,34.6000282900844,2.35280192372574,0.77504063369789,3.76448307796118,13.8400113160338,0,13.8400113160338
6.4,0,13.3574190845773,0,13.3590988139704,20.0386482209557,26.7181976279409,8.01545928838227,26.7181976279409,1.33590988139704,1.87027383395586,0.436801636134262,26.7181976279409,13.3590988139704,33.3977470349261,2.27104679837498,0.748109533582345,3.63367487739996,13.3590988139704,0,13.3590988139704
6.41,0,12.8908478093788,0,12.891451465126,19.3371771976891,25.7829029302521,7.73487087907562,25.7829029302521,1.2891451465126,1.80480320511765,0.287925653072455,25.7829029302521,12.891451465126,32.2286286628151,2.19154674907143,0.721921282047058,3.50647479851428,12.891451465126,0,12.891451465126
6.42,0,12.5023534755005,0,12.5029367221908,18.7544050832862,25.0058734443816,7.50176203331448,25.0058734443816,1.25029367221908,1.75041114110671,0.278205030518007,25.0058734443816,12.5029367221908,31.257341805477,2.12549924277244,0.700164456442685,3.4007987884359,12.5029367221908,0,12.5029367221908
6.43,0,12.0616134305718,0,12.0616134305718,18.0924201458577,24.1232268611436,7.23696805834307,24.1232268611436,1.20616134305718,1.68862588028005,0.137567422326618,24.1232268611436,12.0616134305718,30.1540335764295,2.0504742831972,0.67545035211202,3.28075885311553,12.0616134305718,0,12.0616134305718
6.44,0,11.6324768448096,0,11.6324768448096,17.4487152672145,23.2649536896193,6.97948610688579,23.2649536896193,1.16324768448096,1.62854675827335,0,23.2649536896193,11.6324768448096,29.0811921120241,1.97752106361764,0.65141870330934,3.16403370178822,11.6324768448096,0,11.6324768448096
